"filename", "language", "JSON", "HTML", "Properties", "Markdown", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\ViewStdAttendance.js", "JavaScript", 0, 0, 0, 0, 160, 0, 0, 13, 19, 192
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherClassDetails.js", "JavaScript", 0, 0, 0, 0, 172, 0, 0, 2, 21, 195
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherComplain.js", "JavaScript", 0, 0, 0, 0, 106, 0, 0, 0, 10, 116
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherDashboard.js", "JavaScript", 0, 0, 0, 0, 134, 0, 0, 0, 8, 142
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherEvaluationForm\TeacherEvaluationForm.js", "JavaScript", 0, 0, 0, 0, 301, 0, 0, 62, 60, 423
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherHomePage.js", "JavaScript", 0, 0, 0, 0, 71, 0, 0, 20, 10, 101
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherMedia\TeacherTutorial.js", "JavaScript", 0, 0, 0, 0, 43, 0, 0, 3, 7, 53
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherMedia\TeacherUploadForm.js", "JavaScript", 0, 0, 0, 0, 158, 0, 0, 2, 14, 174
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherProfile.js", "JavaScript", 0, 0, 0, 0, 39, 0, 0, 0, 8, 47
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherQuestion\QuestionForm.js", "JavaScript", 0, 0, 0, 0, 111, 0, 0, 4, 11, 126
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherQuestion\TeacherQuestion.js", "JavaScript", 0, 0, 0, 0, 57, 0, 0, 5, 9, 71
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherQuiz\QuizResultTable.js", "JavaScript", 0, 0, 0, 0, 39, 0, 0, 0, 5, 44
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherQuiz\Quizform.js", "JavaScript", 0, 0, 0, 0, 31, 0, 0, 2, 6, 39
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherQuiz\TeacherQuizFront.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 2, 8, 70
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherQuiz\Trquiz.js", "JavaScript", 0, 0, 0, 0, 134, 0, 0, 7, 11, 152
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherSideBar.js", "JavaScript", 0, 0, 0, 0, 79, 0, 0, 8, 4, 91
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\teacher\TeacherViewStudent.js", "JavaScript", 0, 0, 0, 0, 188, 0, 0, 13, 19, 220
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\QuizRelated\questionReducer.js", "JavaScript", 0, 0, 0, 0, 40, 0, 0, 2, 2, 44
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\QuizRelated\resultReducer.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 1, 3, 32
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\complainRelated\complainHandle.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 2, 3, 25
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\complainRelated\complainSlice.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 0, 4, 42
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\noticeRelated\noticeHandle.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\noticeRelated\noticeSlice.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 0, 4, 42
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\sclassRelated\sclassHandle.js", "JavaScript", 0, 0, 0, 0, 98, 0, 0, 0, 13, 111
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\sclassRelated\sclassSlice.js", "JavaScript", 0, 0, 0, 0, 88, 0, 0, 0, 4, 92
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\store.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 2, 7, 32
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\studentRelated\studentHandle.js", "JavaScript", 0, 0, 0, 0, 86, 0, 0, 19, 14, 119
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\studentRelated\studentSlice.js", "JavaScript", 0, 0, 0, 0, 53, 0, 0, 0, 4, 57
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\teacherRelated\teacherHandle.js", "JavaScript", 0, 0, 0, 0, 44, 0, 0, 0, 6, 50
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\teacherRelated\teacherSlice.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 0, 4, 56
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\userRelated\userHandle.js", "JavaScript", 0, 0, 0, 0, 97, 0, 0, 16, 16, 129
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\redux\userRelated\userSlice.js", "JavaScript", 0, 0, 0, 0, 96, 0, 0, 0, 7, 103
"Total", "-", 19201, 16, 0, 38, 11047, 121, 291, 1321, 1682, 33717
